compound	smiles	average_delta_tm	sd_delta_tm	n
1	o1cccc1C(N2[C@H](c(o3)nc(c4ccc(C)cc4)n3)Cc([nH]5)c(nc5)C2)=O	-0.346931433	0.104742833	3
2	Cc(c(Oc(cccn1)c1C)n2)c(c(cc(N)n3)c(c4)c3[nH]c4)nc2	0.204729331	0.323448726	3
3	FC(F)(F)COC(C(=C(C)N1)C(c2ccccc2Cl)NC1=O)=O	-0.214400796	0.070355703	3
4	Cn(c(C(CCN1)CC1)n2)c(Sc3cc(C(N4CCCC4)=O)ccn3)n2	-0.027553519	0.149752836	3
5	Fc(ccc1CNC(=O)CCc2nnc(c(cc(C)o3)n3)o2)c(F)c1	0.112384954	0.146663317	3
6	Oc(cc(C)n1)nc1SCC2=Nc(cccc3)c3C(=O)N2c4ccccc4C	-0.156160129	0.068374985	3
7	CSC1=NC2=C(C(=O)N1)C(c(ccn3)cc3)C4=C(N2)CCCC4=O	-0.222297169	0.098024288	3
8	Fc(c(OCCCCCC)ccc1c2nc(N)ccn2)c1F	-0.052347729	0.097152756	3
9	C(OC(=O)C(c1ccc(F)cc1)(NC(Nc(cc(C)o2)n2)=O)C(F)(F)F)C	-0.031941463	0.171456539	3
10	Clc(cc(N1)c2C(O)(CC(c3ccc(C)o3)=O)C1=O)cc2Cl	-0.104924033	0.083314368	3
11	c1(Cn2c(CCCC3=O)c3c(CC(NCC(NC(=O)N4)=N4)=O)c2C)ccccc1	-0.053870159	0.015198791	3
12	Cc1c(C(=O)N2CC(c3ccc(C)cc3)=O)c(sc1C(N)=O)N=C2	-0.029329069	0.109277011	3
13	O=C(C(CC(NC(c(cn1c2ccccc2F)cn1)C)=O)=CN3)NC3=O	-0.000301039	0.046273946	3
14	Clc(ccc1C2(N(Cc(nc(C(N)=O)o3)n3)C=O)CCC2)cc1	0.015360217	0.125040369	3
15	Fc(ccc1c(c(CN(C)C(=O)CC(=C(C)N2)C(=O)NC2=O)c[nH]3)n3)cc1	-0.095286816	0.072320689	3
16	O=C(C=CN1CC(NCCC(c2ccc(F)cc2)c3ccco3)=O)NC1=O	-0.094125233	0.092560598	3
17	Cc(cc(CNc1ccc(c(o2)nc(CCCc3ccccc3)n2)cn1)o4)n4	-3.907691389	0.284592301	3
18	n1c(ccc(CN(C)C(C(N(C=C2)C(S2)=N3)=CC3=O)=O)c4)c4ns1	0.076320587	0.048312725	3
19	C(c(o1)nnc1CN(C)C(C(C(=O)N2)=CC(C3)=C2CC3)=O)C	-0.008505323	0.271685871	3
20	Clc1ccc(C(F)(F)F)cc1N(Cc(o2)nc(C(NC)=O)n2)C=O	0.061103094	0.087800089	3
21	n1(Cc(o2)ccc2C(NCc(nc(Cc3cccs3)o4)n4)=O)cccn1	-0.113585453	0.047276363	3
22	O1CCNC[C@@H]1CNc(c(C(F)(F)F)cn2)cc2Nc(cn3)ncc3C#N	-0.109832063	0.192123191	3
23	Fc1cc(c(cs2)nc2C)ccc1Oc(c3c(n4)cccc3)nc4	-0.236565273	0.166351816	3
24	C(COC(c(co1)nc1c2ccc(Br)cc2F)=O)(N)=O	-0.154071766	0.039991853	3
25	C(NC(Nc1ccc(Oc2ccc(C(F)(F)F)cn2)c(F)c1)=O)CC#C	0.005339691	0.131948392	3
26	Cc(n1)c(C)c(C)c(C(N)=O)c1SCCCN2c(cccc3)c3NC2=O	-0.103772523	0.057942949	3
27	C(C(CCC(C1)(C(=O)N(CC(NCc2ccccc2OC)=O)C3=O)N3)C1)C	-0.216202943	0.104160721	3
28	Fc1ccccc1OC(c2nnc(c(cn3)cc(c(C(C)C)n4)c3o4)o2)C	-0.148125396	0.416378313	3
29	ClC(=CC(C(F)(F)F)=CN1CC(Nc2c(C#N)c(C)c(C)o2)=O)C1=O	0.123745031	0.082447502	3
30	Cc(ccc(O1)c2C(=O)C=C1C(Nc3ccc(N4CCCC4=O)c(C)c3)=O)c2	-0.629411979	0.110045715	3
31	COC(C(C=CC(=O)N1CC(NCC(F)(F)F)=O)=C1)=O	-0.384614146	0.053766593	3
32	FC(n1c(cccc2)c2nc1C(OC(c(cc(s3)c4nc3N)cc4)=O)C)F	-0.210377246	0.135121725	3
33	Fc(ccc1c2nc(COc(o3)nc(Cc4ccc(F)cc4)n3)co2)c(F)c1	-0.110084283	0.11831839	3
34	c1(c(c(C(NS(CC(F)(F)F)(=O)=O)=O)c[nH]2)n2)ccccc1	-0.108132689	0.109837356	3
35	Fc(ccc1C(=O)C(Sc(n(CC(N)=O)c(C)n2)n2)C)cc1F	-0.304306763	0.068953154	3
36	Cc(o1)c(CC(NN2C(=O)c3c(N=C2)cccc3)=O)nc1c4cccs4	0.013262501	0.126716525	3
37	C(c1nnc(CSCc(co2)nc2c3cccc(F)c3)o1)(C)(C)C	-0.145233123	0.075405426	3
38	s1cccc1C(NC(c(c([N+]([O-])=O)c[nH]2)n2)=O)c3sccc3	-0.386579676	0.697459781	3
39	CN(C(=O)CN1CC(=O)N2CCCCCC2c3ccc(C(F)(F)F)cc3)C1=O	-0.151947109	0.105564388	3
40	c1(c(O2)cc(c3c1)nc(NC(c4c(C)c5c(o4)ccc(F)c5)=O)s3)OCC2	-0.305679973	0.017766006	3
41	Fc(c1c(o2)cnc2CCC(Nc3c(O)cccn3)=O)cccc1F	-0.189928709	0.198734045	3
42	Nc1nc(Oc(cccc2C(NC3CC3)=O)c2)cc(Cl)n1	-0.047227143	0.156552731	3
43	Clc(ccc1CN(C)C(=O)CSC(NC(=O)N2)=N2)cc1	-0.120274849	0.088489285	3
44	COC(c1ccc(C(N(Cc2ccco2)CC(F)(F)F)=O)s1)=O	-0.088814133	0.150746537	3
45	C1(NC(NC(=O)CN(c2c(ccc(C(F)(F)F)c2)S3)CC3)=O)CC1	-0.129133273	0.099849865	3
46	O=C(c1c(cccc1)S2(=O)=O)N2Cc3cn4c(c3C#N)cccc4	-0.255016869	0.242062509	3
47	C(C(OC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C)(N)=O	-0.171388059	0.17897268	3
48	CC(N1)=CC(=O)C(C(NC(=CC=CN2Cc3ccc(C)cc3)C2=O)=O)=C1	0.021810647	0.164772916	3
49	Clc1cccc(F)c1COC(=O)c2ccc(n3c(N)c(C#N)cn3)cc2	0.083366974	0.186406194	3
50	CN(C)CCCN(c(c1)c2ccc1)c(cccc3)c3S2	-0.026535943	0.086615953	3
51	Cn1c(c(cn1)C(=O)N2CC(c3c(O4)cc(C)c(C(C)C)c3)=CC4=O)N=C2	-0.303164296	0.145762961	3
52	Clc(cc1N(CC2CC2)C(=O)CN3C(=O)N(C)C=N3)ccc1C#N	-0.133444123	0.13783857	3
53	Clc1cc(CSCCNC(N2C)=CC(=O)N(C)C2=O)ccn1	-0.068009429	0.033539552	3
54	C1(NC(COC(c2c(Cl)c3c(s2)cc(Cl)cc3Cl)=O)=O)CC1	-0.129896796	0.0305548	3
55	Clc1ccccc1C(C)(C(=O)N2CC(Nc3ccccc3C#N)=O)NC2=O	-0.112977856	0.062340038	3
56	Cc(ccc1c2nc(CSc3nc(C)c(CC(N)=O)s3)co2)cc1C	0.009079101	0.067451503	3
57	CC(c1c(O2)cc(NC(c(n3c4ccccc4)cnc3SC)=O)cc1)=CC2=O	-16.92090984	14.6319626	3
58	C(N1C(=O)C=CC(NC(=O)Cc(cs2)nc2c3ccc(C)o3)=C1)C	0.059743057	0.04646079	3
59	Cc(o1)c(CSCc(cc(c2cccs2)o3)n3)c(C)n1	-0.024391129	0.079206058	3
60	Fc(cccc1C(C(=C2N(CCC)C(=O)N3C)C3=O)C(=C4N2)C(=O)OC4)c1	-3.639729813	4.509156213	3
61	C(c(c(F)c(Oc1cccc(n2ccnc2)c1)n3)nc3)C	-0.142389946	0.059715567	3
62	n1c2n(cc1c(cccc3S(N4CC(C)CC(C)C4)(=O)=O)c3)cccn2	-19.85851611	16.8440153	3
63	Clc(ccc1CSC2=C(C=Cc([nH]3)ccn3)N(C=CS4)C4N2)cc1	-0.577390383	0.104193073	3
64	Fc1ccccc1Oc2nc(C)c(NC(c3ccco3)=O)c(C)n2	-0.063624283	0.136663324	3
65	o1cccc1C(c2cccs2)CNC(c(c(C)o3)cn3)=O	-0.095101223	0.107427093	3
66	Cc(cc1NC(=O)CN2C(=O)c(s3)c(c(c(ccn4)cc4)n3)N=C2)cc(C)c1	-0.118093986	0.056622824	3
67	Fc(ccc1NC(=O)CC2N(C(=O)C=C3C)C(SC2)=N3)c(C(F)(F)F)c1	-0.083149213	0.105712276	3
68	Cc(n1)cc(C(F)(F)F)cc1Oc(ccc2c(ccn3)nc3N)cc2	0.047307671	0.076739049	3
69	Cc1nc(C(NCC(=O)c2ccccc2)=O)c(C(F)(F)F)o1	-0.042584629	0.046722905	3
70	COC(c1c2c(sc1)C(C(F)(F)F)=CC(=O)N2)=O	-0.340532299	0.148566421	3
71	c1(COC(=CN2C)C(=O)C=C2C(N=C3NN=C(CC(C)C)S3)=O)ccccc1	-0.255477379	0.156008561	3
72	C(N1CCc2c(C1C(=C(O)N=C3O)C(=O)N3c4ccc(F)cc4)cccc2)(=O)C	-0.170105643	0.110070105	3
73	Clc1ccccc1COc(cn2)c(O)cc2C(Nc3cc(C)ccn3)=O	-0.237148196	0.1066106	3
