expt	row	col	variable	condition
assay-volume	F	1	µM assay volume	10
assay-volume	F	2	µM assay volume	10
assay-volume	F	3	µM assay volume	10
assay-volume	F	4	µM assay volume	10
assay-volume	F	5	µM assay volume	10
assay-volume	F	6	µM assay volume	10
assay-volume	F	7	µM assay volume	10
assay-volume	F	8	µM assay volume	10
assay-volume	F	9	µM assay volume	20
assay-volume	F	10	µM assay volume	20
assay-volume	F	11	µM assay volume	20
assay-volume	F	12	µM assay volume	20
assay-volume	F	13	µM assay volume	20
assay-volume	F	14	µM assay volume	20
assay-volume	F	15	µM assay volume	20
assay-volume	F	16	µM assay volume	20
assay-volume	F	17	µM assay volume	25
assay-volume	F	18	µM assay volume	25
assay-volume	F	19	µM assay volume	25
assay-volume	F	20	µM assay volume	25
assay-volume	F	21	µM assay volume	25
assay-volume	F	22	µM assay volume	25
assay-volume	F	23	µM assay volume	25
assay-volume	F	24	µM assay volume	25
assay-volume	G	1	µM assay volume	30
assay-volume	G	2	µM assay volume	30
assay-volume	G	3	µM assay volume	30
assay-volume	G	4	µM assay volume	30
assay-volume	G	5	µM assay volume	30
assay-volume	G	6	µM assay volume	30
assay-volume	G	7	µM assay volume	30
assay-volume	G	8	µM assay volume	30
assay-volume	G	9	µM assay volume	35
assay-volume	G	10	µM assay volume	35
assay-volume	G	11	µM assay volume	35
assay-volume	G	12	µM assay volume	35
assay-volume	G	13	µM assay volume	35
assay-volume	G	14	µM assay volume	35
assay-volume	G	15	µM assay volume	35
assay-volume	G	16	µM assay volume	35
fetmpyp	B	2	DMSO control	0
fetmpyp	C	2	DMSO control	0
fetmpyp	D	2	DMSO control	0
fetmpyp	E	2	FeTMPyP 20 µM	20
fetmpyp	F	2	FeTMPyP 20 µM	20
fetmpyp	G	2	FeTMPyP 20 µM	20
fetmpyp	B	3	DMSO control	0
fetmpyp	C	3	DMSO control	0
fetmpyp	D	3	DMSO control	0
fetmpyp	E	3	FeTMPyP 20 µM	20
fetmpyp	F	3	FeTMPyP 20 µM	20
fetmpyp	G	3	FeTMPyP 20 µM	20
fetmpyp	B	4	DMSO control	0
fetmpyp	C	4	DMSO control	0
fetmpyp	D	4	DMSO control	0
fetmpyp	E	4	FeTMPyP 20 µM	20
fetmpyp	F	4	FeTMPyP 20 µM	20
fetmpyp	G	4	FeTMPyP 20 µM	20
fetmpyp	B	5	DMSO control	0
fetmpyp	C	5	DMSO control	0
fetmpyp	D	5	DMSO control	0
fetmpyp	E	5	FeTMPyP 20 µM	20
fetmpyp	F	5	FeTMPyP 20 µM	20
fetmpyp	G	5	FeTMPyP 20 µM	20
fetmpyp	B	6	DMSO control	0
fetmpyp	C	6	DMSO control	0
fetmpyp	D	6	DMSO control	0
fetmpyp	E	6	FeTMPyP 20 µM	20
fetmpyp	F	6	FeTMPyP 20 µM	20
fetmpyp	G	6	FeTMPyP 20 µM	20
fetmpyp	B	7	DMSO control	0
