Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	12.330919	0.001667	12.206644	0.01	0	0	"Method Settings"	0.093333	"1.A.1"	0.04	-0.027701
0.003333	12.330919	0.005	12.206797	0.026667	0	0.053333	"Elution"	8.551666	"1.A.2"	0.041667	-0.026942
0.005	0	0.008333	12.206874	0.043333	0			12.418333	"1.A.3"	0.043333	-0.026182
0.006667	0	0.011667	12.20696	0.06	0			17.551666	"1.B.1"	0.045	-0.025422
0.008333	0	0.015	12.207008	0.076667	0			21.078333	"Waste(Frac)"	0.046667	-0.024663
0.01	0	0.018333	12.207209	0.093333	0					0.048333	-0.023903
0.011667	0	0.021667	12.207256	0.11	0.000106					0.05	-0.023144
0.013333	0	0.025	12.207356	0.126667	0.002605					0.051667	-0.022384
0.015	0	0.028333	12.207385	0.143333	0.007677					0.053333	-0.021625
0.016667	0	0.031667	12.207437	0.16	0.015336					0.055	-0.020865
0.018333	0	0.035	12.209178	0.176667	0.025558					0.056667	-0.020105
0.02	0	0.038333	12.211168	0.193333	0.038362					0.058333	-0.019535
0.021667	0	0.041667	12.21259	0.21	0.053723					0.06	-0.021324
0.023333	0.000209	0.045	12.214227	0.226667	0.071643					0.061667	-0.021324
0.025	-0.001729	0.048333	12.2165	0.243333	0.092153					0.063333	-0.023633
0.026667	-0.003681	0.051667	12.219287	0.26	0.115213					0.065	-0.022635
0.028333	-0.005931	0.055	12.221916	0.276667	0.140842					0.066667	-0.021741
0.03	-0.006899	0.058333	12.224189	0.293333	0.16904					0.068333	-0.020564
0.031667	-0.009626	0.061667	12.226181	0.31	0.199843					0.07	-0.020236
0.033333	-0.010222	0.065	12.227726	0.326667	0.233187					0.071667	-0.019819
0.035	-0.009492	0.068333	12.229108	0.343333	0.269057					0.073333	-0.01882
0.036667	-0.010192	0.071667	12.230333	0.36	0.306077					0.075	-0.019774
0.038333	-0.009865	0.075	12.231707	0.376667	0.343093					0.076667	-0.021517
0.04	-0.009403	0.078333	12.232829	0.393333	0.380107					0.078333	-0.023082
0.041667	-0.008449	0.081667	12.234097	0.41	0.417117					0.08	-0.024021
0.043333	-0.010163	0.085	12.23516	0.426667	0.454126					0.081667	-0.027582
