library	broad_id	other_id	smiles	hit	std_attempted	trosy_attempted	trosy_validated	pool	color	parsed	hba	hbd	logp	mw	rotb	tpsa
f19	BRD-K14431198-001-02-4		NS(=O)(=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.2	175	1	68.5
f19	BRD-K54848092-001-02-7		Oc1ccc(cc1)C(=O)OCC(F)(F)C(F)F	0	0	0	0	NA	#66A61E	TRUE	2	1	2.6	252	5	46.5
f19	BRD-K62914998-001-01-4		Fc1ccccc1C(=O)NCc1cccnc1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.9	230.1	4	42
f19	BRD-K60077856-001-07-0		OC(=O)CCC(=O)Nc1nnc(s1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	6	2	0.7	269	6	120.4
f19	BRD-A85356518-001-01-4		CC(C(O)=O)n1nc(ccc1=O)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	3	1	2.4	262.1	3	72.2
f19	BRD-A85541907-003-01-6		NCC(CCC(O)=O)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	2	0.1	185.1	5	63.3
f19	BRD-K19874682-001-01-5		Cc1cc(=O)n2nc([nH]c2n1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	2	1	1.8	218	1	63.1
f19	BRD-K36368018-001-02-0		Fc1cccc(c1)-n1nnnc1CNC(=O)C1CCCC1	0	0	0	0	NA	#66A61E	TRUE	5	1	0.6	289.1	5	72.7
f19	BRD-K99556407-003-01-1		Fc1ccccc1CSC1=NCCN1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.5	210.1	3	49.7
f19	BRD-A37879870-001-07-3		CNC(=O)C(C)c1ncc(cc1Cl)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	2.4	266	4	42
f19	BRD-K67204129-001-02-5		Cc1[nH]c2ccc(F)cc2c1CC(O)=O	0	0	0	0	NA	#66A61E	TRUE	2	2	2.7	207.1	2	53.1
f19	BRD-K22859880-003-01-7		NCc1cc(on1)-c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	1	1	1.5	192.1	2	52
f19	BRD-K77702744-001-08-8		Nc1nc2c(F)cccc2s1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.9	168	0	67.1
f19	BRD-K52419950-003-01-8		NCCOc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	1	1	1.4	155.1	3	35.2
f19	BRD-K39477194-001-01-4		Fc1cccc(c1)-n1nnnc1CNC(=O)c1ccco1	0	0	0	0	NA	#66A61E	TRUE	5	1	1.8	287.1	5	85.8
f19	BRD-K77809557-001-02-0		OC(=O)CSc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.3	186	3	62.6
f19	BRD-A97070770-001-02-8		CC1CN(CC(=O)Nc2c(F)cccc2F)CC(C)O1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.4	284.1	4	41.6
f19	BRD-K11581410-001-01-3		CCOC(=O)Nc1cccc(c1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	3	233.1	5	38.3
f19	BRD-K51511380-001-02-5		CS(=O)(=O)NCc1nnnn1-c1ccc(F)c(F)c1	0	0	0	0	NA	#66A61E	TRUE	6	1	1.2	289	4	98.2
f19	BRD-K40303464-001-02-0		OC(=O)c1cc(on1)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.4	207	2	63.3
f19	BRD-K81313552-001-02-2		OC(=O)CCC(=O)Nc1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	4	2	1.3	211.1	5	66.4
f19	BRD-K67893715-001-02-5		OC(=O)c1cc([nH]n1)-c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	3	2	2.2	206	2	66
f19	BRD-K12223295-001-02-9		OC(=O)CCC(=O)Nc1cccc(c1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	4	2	1.9	261.1	6	66.4
f19	BRD-A31769820-001-02-4		CC12CCC(C(=O)NCC(F)(F)F)(C(=O)C1=O)C2(C)C	0	0	0	0	NA	#66A61E	TRUE	4	1	0.9	291.1	4	63.2
f19	BRD-K52684258-001-02-8		CN(C)C(=O)Nc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.7	182.1	3	32.3
f19	BRD-K82424406-001-01-6		OC(=O)CCS(=O)(=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.5	232	4	79.8
f19	BRD-K22425456-001-01-5		Fc1ccccc1C(=O)NCc1nnc(S)o1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.7	253	4	106.8
f19	BRD-K30125524-001-01-9		FC(F)(F)c1cc(=O)nc(S)[nH]1	1	1	0	0	1	#66A61E	TRUE	1	1	2	196	1	84.5
f19	BRD-K05331380-001-01-7		OC(=O)COc1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	1.6	170	3	46.5
f19	BRD-K48020855-001-09-4		Oc1ccnc2c(cccc12)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	1	1	2.8	213	1	33.1
f19	BRD-K54322876-001-01-7		Fc1ccc(Cn2ccnc2S)cc1	0	0	0	0	NA	#66A61E	TRUE	1	0	2.7	208	2	56.6
f19	BRD-K30746605-001-01-4		OC(=O)c1cc(on1)-c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	2.3	207	2	63.3
f19	BRD-K05547491-001-01-4		Cc1cc(=O)cc(o1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	0	0	2.6	178	1	30.2
f19	BRD-K16627845-001-01-4		Nc1ccnc2c(F)cccc12	1	1	0	0	2	#66A61E	TRUE	2	1	1.7	162.1	0	38.9
f19	BRD-K53853550-001-01-5		Cc1nc2ccc(F)cc2cc1C(O)=O	0	0	0	0	NA	#66A61E	TRUE	3	1	2.3	205.1	1	50.2
f19	BRD-K63213755-001-01-3		OC(=O)CS(=O)(=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.2	218	3	79.8
f19	BRD-K52857598-001-02-9		OC(=O)c1ccc(=O)n(Cc2ccccc2F)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.7	247.1	3	59.3
f19	BRD-K54792783-308-01-2		CN1CCN(CCS(=O)(=O)OCC(F)(F)F)CC1	0	0	0	0	NA	#66A61E	TRUE	5	0	0.9	290.1	6	58.2
