expt	row	col	variable	condition
prp-titration	A	1	[PrP] (µM)	10
prp-titration	B	1	[PrP] (µM)	10
prp-titration	C	1	[PrP] (µM)	10
prp-titration	D	1	[PrP] (µM)	10
prp-titration	A	2	[PrP] (µM)	20
prp-titration	B	2	[PrP] (µM)	20
prp-titration	C	2	[PrP] (µM)	20
prp-titration	D	2	[PrP] (µM)	20
prp-titration	A	3	[PrP] (µM)	30
prp-titration	B	3	[PrP] (µM)	30
prp-titration	C	3	[PrP] (µM)	30
prp-titration	D	3	[PrP] (µM)	30
prp-titration	A	4	[PrP] (µM)	50
prp-titration	B	4	[PrP] (µM)	50
prp-titration	C	4	[PrP] (µM)	50
prp-titration	D	4	[PrP] (µM)	50
dmso-titration	D	1	DMSO (v/v)	0
dmso-titration	E	1	DMSO (v/v)	0
dmso-titration	F	1	DMSO (v/v)	0
dmso-titration	D	2	DMSO (v/v)	0.5
dmso-titration	E	2	DMSO (v/v)	0.5
dmso-titration	F	2	DMSO (v/v)	0.5
dmso-titration	D	3	DMSO (v/v)	1
dmso-titration	E	3	DMSO (v/v)	1
dmso-titration	F	3	DMSO (v/v)	1
dmso-titration	D	4	DMSO (v/v)	2
dmso-titration	E	4	DMSO (v/v)	2
dmso-titration	F	4	DMSO (v/v)	2
dmso-titration	D	5	DMSO (v/v)	5
dmso-titration	E	5	DMSO (v/v)	5
dmso-titration	F	5	DMSO (v/v)	5
dye-titration	A	1	dye (X)	2
dye-titration	B	1	dye (X)	2
dye-titration	C	1	dye (X)	2
dye-titration	D	1	dye (X)	2
dye-titration	E	1	dye (X)	2
dye-titration	F	1	dye (X)	2
dye-titration	G	1	dye (X)	2
dye-titration	H	1	dye (X)	2
dye-titration	I	1	dye (X)	2
dye-titration	J	1	dye (X)	2
dye-titration	K	1	dye (X)	2
dye-titration	L	1	dye (X)	2
dye-titration	M	1	dye (X)	2
dye-titration	N	1	dye (X)	2
dye-titration	O	1	dye (X)	2
dye-titration	P	1	dye (X)	2
dye-titration	A	2	dye (X)	5
dye-titration	B	2	dye (X)	5
dye-titration	C	2	dye (X)	5
dye-titration	D	2	dye (X)	5
dye-titration	E	2	dye (X)	5
dye-titration	F	2	dye (X)	5
dye-titration	G	2	dye (X)	5
dye-titration	H	2	dye (X)	5
dye-titration	I	2	dye (X)	5
dye-titration	J	2	dye (X)	5
dye-titration	K	2	dye (X)	5
dye-titration	L	2	dye (X)	5
dye-titration	M	2	dye (X)	5
dye-titration	N	2	dye (X)	5
dye-titration	O	2	dye (X)	5
dye-titration	P	2	dye (X)	5
dye-titration	A	3	dye (X)	10
dye-titration	B	3	dye (X)	10
dye-titration	C	3	dye (X)	10
dye-titration	D	3	dye (X)	10
dye-titration	E	3	dye (X)	10
dye-titration	F	3	dye (X)	10
dye-titration	G	3	dye (X)	10
dye-titration	H	3	dye (X)	10
dye-titration	I	3	dye (X)	10
dye-titration	J	3	dye (X)	10
dye-titration	K	3	dye (X)	10
dye-titration	L	3	dye (X)	10
dye-titration	M	3	dye (X)	10
dye-titration	N	3	dye (X)	10
dye-titration	O	3	dye (X)	10
dye-titration	P	3	dye (X)	10
dye-titration	A	4	dye (X)	15
dye-titration	B	4	dye (X)	15
dye-titration	C	4	dye (X)	15
dye-titration	D	4	dye (X)	15
dye-titration	E	4	dye (X)	15
dye-titration	F	4	dye (X)	15
dye-titration	G	4	dye (X)	15
dye-titration	H	4	dye (X)	15
dye-titration	I	4	dye (X)	15
dye-titration	J	4	dye (X)	15
dye-titration	K	4	dye (X)	15
dye-titration	L	4	dye (X)	15
dye-titration	M	4	dye (X)	15
dye-titration	N	4	dye (X)	15
dye-titration	O	4	dye (X)	15
dye-titration	P	4	dye (X)	15
dye-titration	A	5	dye (X)	20
dye-titration	B	5	dye (X)	20
dye-titration	C	5	dye (X)	20
dye-titration	D	5	dye (X)	20
dye-titration	E	5	dye (X)	20
dye-titration	F	5	dye (X)	20
dye-titration	G	5	dye (X)	20
dye-titration	H	5	dye (X)	20
dye-titration	I	5	dye (X)	20
dye-titration	J	5	dye (X)	20
dye-titration	K	5	dye (X)	20
dye-titration	L	5	dye (X)	20
dye-titration	M	5	dye (X)	20
dye-titration	N	5	dye (X)	20
dye-titration	O	5	dye (X)	20
dye-titration	P	5	dye (X)	20
