smiles	pubchem_cid
Fc1cc(F)cc(c1)Nc2ncnc3cc(Cl)ccc23	1490519
N#CC1C=C(OC=1NC(=O)c2cccc(Cl)c2Cl)c3ccccc3	1477444
Cc4nc(SCC(=O)Nc1ccc(cc1)S(N)(=O)=O)c3C=NN(c2ccccc2)c3n4	1554385
CC(C)CC2OCC3(COC(=O)Nc1ccccc1)COC(CC(C)C)N23	3902560
[O-][N+](=O)c4ccc(NC(=O)CSC2=Nc1ccccc1N2S(=O)(=O)c3ccc(Br)cc3)c(Cl)c4	46371075
O=C(CCCC2NS(=O)(=O)c1ccccc1N=2)Nc3ccc(Cl)c(Cl)c3	4139972
[O-][N+](=O)c1ccc(cc1)c4nc(NCCCN2CCOCC2)c3ccccc3n4	1566137
CC(C)=CCc2ccc1C(CC#N)=CNc1c2	11009616
N#Cc1ccc(nc1Oc2ccc(Cl)cc2)c3ccccc3	2765229
O=C(C1=CN(N=N1)c2ccccc2C(F)(F)F)c3ccc(Cl)cc3Cl	1480013
[O-][N+](=O)c1cccc(c1)C(=O)Nc2ccc(c(Cl)c2)N3C=CC=C3	2768251
Clc1ccc(cc1)C3COc2ccc(Cl)cc2N=3	1489678
O=C(Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F)c2c(F)cccc2Cl	2797476
O=C(Nc1ccc(cc1)S(=O)(=O)N2CCOCC2)c3cccc(c3)C(F)(F)F	2811229
Cc1ccc(cc1Cl)NC(=O)Nc2ccccc2N3CCCCC3	2814229
COC(=O)c1cc(ccc1N2CCOCC2)NC(=O)Nc3ccc(cc3)OC(F)(F)F	2741330
Cc1ccc(cc1)S(=O)(=O)Nc3ccc2NC=C(Cl)c2c3	2742972
CCN3c1ccccc1c2cc(ccc23)NC(=O)Cc4ccccc4[N+]([O-])=O	2184769
O=C(Nc1ccc(cc1)C2=NOC(=N2)c3cccc(Cl)c3)c4cccc(Br)c4	2247836
NC(=O)C3=CC1=C(Nc2cc(Cl)ccc12)S3	442119
CN(C)c1ccc(cc1)NC(=O)COC(=O)C2(CCCC2)c3ccc(F)cc3	2388184
Clc3ccc(CCNc1ncnc2NN=Cc12)cc3	2409078
CCN3c1ccccc1c2cc(ccc23)NC(=O)CN4N=NC(=N4)c5cccc(c5)C(F)(F)F	2415505
O=C(COC(=O)CCCC1=CNc2ccccc12)Nc4ccc3OCOc3c4	2368598
[O-][N+](=O)c3ccc(NCC2COc1ccccc1O2)c(Cl)c3	3561559
CC(C)c1ccc(cc1)NC(=O)COc2ccc(cc2)[N+]([O-])=O	1120955
Cc1cccc(c1)OCC(=O)Nc3ccc2N=C(C)Sc2c3	2090688
N#Cc1cccc(c1)NC(=O)c2ccc(cc2)OCc3ccccc3	2486952
