file_number	well_number	temperature	intensity	first_derivative
54	1	30	1.47	-0.008
54	1	31.2	1.45	-0.026
54	1	32.4	1.42	-0.031
54	1	33.6	1.38	-0.026
54	1	34.8	1.35	-0.025
54	1	36	1.32	-0.024
54	1	37.2	1.29	-0.024
54	1	38.4	1.26	-0.023
54	1	39.6	1.23	-0.025
54	1	40.8	1.2	-0.022
54	1	42	1.18	-0.017
54	1	43.2	1.16	-0.015
54	1	44.4	1.14	-0.02
54	1	45.6	1.11	-0.017
54	1	46.8	1.1	-0.014
54	1	48	1.08	-0.012
54	1	49.2	1.07	-0.009
54	1	50.4	1.06	-0.008
54	1	51.6	1.05	-0.006
54	1	52.8	1.05	-0.004
54	1	54	1.04	0.002
54	1	55.2	1.05	0.001
54	1	56.4	1.05	0.002
54	1	57.6	1.05	0.009
54	1	58.8	1.07	0.013
54	1	60	1.09	0.015
54	1	61.2	1.11	0.024
54	1	62.4	1.15	0.039
54	1	63.6	1.2	0.055
54	1	64.8	1.27	0.067
54	1	66	1.36	0.082
54	1	67.2	1.47	0.092
54	1	68.4	1.58	0.098
54	1	69.6	1.7	0.092
54	1	70.8	1.79	0.064
54	1	72	1.85	0.034
54	1	73.2	1.88	0.006
54	1	74.4	1.87	-0.014
54	1	75.6	1.85	-0.027
54	1	76.8	1.81	-0.035
54	1	78	1.77	-0.04
54	1	79.2	1.72	-0.043
54	1	80.4	1.67	-0.045
54	1	81.6	1.61	-0.048
54	1	82.8	1.55	-0.05
54	1	84	1.49	-0.055
54	1	85.2	1.43	-0.057
54	1	86.4	1.36	-0.058
54	1	87.6	1.29	-0.06
54	1	88.8	1.21	-0.061
54	1	90	1.14	-0.066
54	2	30	4.89	-0.045
54	2	31.2	4.82	-0.074
54	2	32.4	4.72	-0.089
54	2	33.6	4.61	-0.089
54	2	34.8	4.51	-0.078
54	2	36	4.42	-0.071
54	2	37.2	4.34	-0.07
54	2	38.4	4.25	-0.073
54	2	39.6	4.16	-0.072
54	2	40.8	4.09	-0.064
54	2	42	4.01	-0.061
54	2	43.2	3.94	-0.059
54	2	44.4	3.87	-0.059
54	2	45.6	3.79	-0.059
54	2	46.8	3.72	-0.055
54	2	48	3.65	-0.059
54	2	49.2	3.58	-0.063
54	2	50.4	3.5	-0.059
54	2	51.6	3.43	-0.061
54	2	52.8	3.36	-0.063
54	2	54	3.28	-0.063
54	2	55.2	3.21	-0.064
54	2	56.4	3.13	-0.065
54	2	57.6	3.05	-0.064
54	2	58.8	2.98	-0.064
54	2	60	2.9	-0.064
54	2	61.2	2.82	-0.062
54	2	62.4	2.75	-0.055
54	2	63.6	2.69	-0.043
54	2	64.8	2.65	-0.031
54	2	66	2.61	-0.025
54	2	67.2	2.58	-0.032
54	2	68.4	2.54	-0.031
54	2	69.6	2.51	-0.032
54	2	70.8	2.47	-0.035
54	2	72	2.42	-0.042
54	2	73.2	2.36	-0.052
54	2	74.4	2.3	-0.051
54	2	75.6	2.24	-0.05
54	2	76.8	2.18	-0.053
54	2	78	2.12	-0.051
54	2	79.2	2.06	-0.049
54	2	80.4	2	-0.055
54	2	81.6	1.93	-0.053
54	2	82.8	1.87	-0.048
54	2	84	1.81	-0.046
54	2	85.2	1.76	-0.046
54	2	86.4	1.7	-0.047
54	2	87.6	1.65	-0.045
54	2	88.8	1.6	-0.041
54	2	90	1.55	-0.036
54	3	30	2.67	-0.047
54	3	31.2	2.62	-0.042
54	3	32.4	2.57	-0.04
54	3	33.6	2.52	-0.041
54	3	34.8	2.48	-0.037
54	3	36	2.43	-0.035
54	3	37.2	2.39	-0.036
54	3	38.4	2.35	-0.034
54	3	39.6	2.31	-0.035
54	3	40.8	2.27	-0.03
54	3	42	2.23	-0.027
54	3	43.2	2.2	-0.03
54	3	44.4	2.16	-0.026
54	3	45.6	2.13	-0.023
54	3	46.8	2.11	-0.026
54	3	48	2.08	-0.024
54	3	49.2	2.05	-0.02
54	3	50.4	2.03	-0.02
54	3	51.6	2	-0.019
54	3	52.8	1.98	-0.017
54	3	54	1.96	-0.018
54	3	55.2	1.94	-0.016
54	3	56.4	1.92	-0.01
54	3	57.6	1.91	-0.009
54	3	58.8	1.9	-0.013
54	3	60	1.88	-0.015
54	3	61.2	1.87	-0.003
54	3	62.4	1.87	0.006
54	3	63.6	1.88	0.013
54	3	64.8	1.9	0.02
54	3	66	1.93	0.026
54	3	67.2	1.97	0.029
54	3	68.4	2	0.029
54	3	69.6	2.04	0.026
54	3	70.8	2.06	0.015
54	3	72	2.07	0.001
54	3	73.2	2.06	-0.01
54	3	74.4	2.05	-0.017
54	3	75.6	2.03	-0.021
54	3	76.8	2	-0.028
54	3	78	1.96	-0.032
54	3	79.2	1.92	-0.032
54	3	80.4	1.88	-0.029
54	3	81.6	1.85	-0.032
54	3	82.8	1.81	-0.037
54	3	84	1.76	-0.039
54	3	85.2	1.72	-0.04
54	3	86.4	1.67	-0.041
54	3	87.6	1.62	-0.037
54	3	88.8	1.58	-0.037
54	3	90	1.53	-0.043
54	4	30	1.55	-0.026
54	4	31.2	1.53	-0.017
54	4	32.4	1.51	-0.017
54	4	33.6	1.49	-0.018
54	4	34.8	1.46	-0.017
54	4	36	1.44	-0.017
54	4	37.2	1.42	-0.015
54	4	38.4	1.4	-0.016
54	4	39.6	1.38	-0.016
54	4	40.8	1.37	-0.013
54	4	42	1.35	-0.013
54	4	43.2	1.34	-0.014
54	4	44.4	1.32	-0.011
54	4	45.6	1.31	-0.01
54	4	46.8	1.3	-0.009
54	4	48	1.29	-0.006
54	4	49.2	1.28	-0.006
54	4	50.4	1.27	-0.008
54	4	51.6	1.27	-0.003
54	4	52.8	1.27	0.001
54	4	54	1.26	-0.004
54	4	55.2	1.26	-0.001
54	4	56.4	1.26	0.004
54	4	57.6	1.27	0.008
54	4	58.8	1.28	0.006
54	4	60	1.28	0.003
54	4	61.2	1.3	0.017
54	4	62.4	1.33	0.031
54	4	63.6	1.37	0.041
54	4	64.8	1.42	0.052
54	4	66	1.49	0.065
54	4	67.2	1.58	0.074
54	4	68.4	1.67	0.076
54	4	69.6	1.76	0.067
54	4	70.8	1.83	0.051
54	4	72	1.88	0.029
54	4	73.2	1.9	0.005
54	4	74.4	1.89	-0.007
54	4	75.6	1.88	-0.022
54	4	76.8	1.84	-0.034
54	4	78	1.8	-0.034
54	4	79.2	1.76	-0.033
54	4	80.4	1.72	-0.037
54	4	81.6	1.68	-0.038
54	4	82.8	1.63	-0.038
54	4	84	1.58	-0.045
54	4	85.2	1.52	-0.047
54	4	86.4	1.47	-0.047
54	4	87.6	1.41	-0.047
54	4	88.8	1.36	-0.046
54	4	90	1.3	-0.044
54	5	30	12.6	-0.149
54	5	31.2	12.41	-0.171
54	5	32.4	12.19	-0.194
54	5	33.6	11.94	-0.209
54	5	34.8	11.69	-0.203
54	5	36	11.45	-0.19
54	5	37.2	11.23	-0.188
54	5	38.4	11.01	-0.173
54	5	39.6	10.82	-0.148
54	5	40.8	10.65	-0.138
54	5	42	10.48	-0.147
54	5	43.2	10.29	-0.159
54	5	44.4	10.1	-0.168
54	5	45.6	9.88	-0.187
54	5	46.8	9.64	-0.21
54	5	48	9.38	-0.225
54	5	49.2	9.1	-0.239
54	5	50.4	8.8	-0.235
54	5	51.6	8.52	-0.248
54	5	52.8	8.22	-0.262
54	5	54	7.91	-0.24
54	5	55.2	7.63	-0.228
54	5	56.4	7.37	-0.22
54	5	57.6	7.11	-0.194
54	5	58.8	6.89	-0.177
54	5	60	6.68	-0.163
54	5	61.2	6.5	-0.137
54	5	62.4	6.35	-0.126
54	5	63.6	6.2	-0.122
54	5	64.8	6.06	-0.113
54	5	66	5.92	-0.114
54	5	67.2	5.78	-0.129
54	5	68.4	5.62	-0.14
54	5	69.6	5.44	-0.153
54	5	70.8	5.25	-0.165
54	5	72	5.04	-0.182
54	5	73.2	4.81	-0.202
54	5	74.4	4.57	-0.199
54	5	75.6	4.33	-0.201
54	5	76.8	4.09	-0.205
