file_number	well_number	temperature	intensity	first_derivative	file_well
2	23	30	1.3	0.006	2-23
2	23	31.2	1.31	-0.004	2-23
2	23	32.4	1.3	-0.01	2-23
2	23	33.6	1.28	-0.008	2-23
2	23	34.8	1.28	-0.003	2-23
2	23	36	1.28	-0.005	2-23
2	23	37.2	1.26	-0.009	2-23
2	23	38.4	1.26	-0.006	2-23
2	23	39.6	1.25	-0.004	2-23
2	23	40.8	1.25	0.001	2-23
2	23	42	1.25	0.002	2-23
2	23	43.2	1.25	0	2-23
2	23	44.4	1.25	0.004	2-23
2	23	45.6	1.26	0.005	2-23
2	23	46.8	1.26	0.003	2-23
2	23	48	1.27	0.008	2-23
2	23	49.2	1.28	0.013	2-23
2	23	50.4	1.3	0.016	2-23
2	23	51.6	1.32	0.021	2-23
2	23	52.8	1.35	0.029	2-23
2	23	54	1.39	0.041	2-23
2	23	55.2	1.44	0.047	2-23
2	23	56.4	1.5	0.055	2-23
2	23	57.6	1.58	0.066	2-23
2	23	58.8	1.67	0.084	2-23
2	23	60	1.78	0.103	2-23
2	23	61.2	1.91	0.123	2-23
2	23	62.4	2.08	0.155	2-23
2	23	63.6	2.29	0.204	2-23
2	23	64.8	2.58	0.271	2-23
2	23	66	2.94	0.327	2-23
2	23	67.2	3.36	0.371	2-23
2	23	68.4	3.82	0.398	2-23
2	23	69.6	4.29	0.364	2-23
2	23	70.8	4.67	0.255	2-23
2	23	72	4.89	0.12	2-23
2	23	73.2	4.96	-0.005	2-23
2	23	74.4	4.9	-0.096	2-23
2	23	75.6	4.75	-0.148	2-23
2	23	76.8	4.55	-0.172	2-23
2	23	78	4.33	-0.194	2-23
2	23	79.2	4.09	-0.203	2-23
2	23	80.4	3.85	-0.206	2-23
2	23	81.6	3.6	-0.206	2-23
2	23	82.8	3.35	-0.212	2-23
2	23	84	3.09	-0.226	2-23
2	23	85.2	2.82	-0.227	2-23
2	23	86.4	2.55	-0.228	2-23
2	23	87.6	2.27	-0.227	2-23
2	23	88.8	2.01	-0.217	2-23
2	23	90	1.75	-0.203	2-23
2	24	30	1.25	0.016	2-24
2	24	31.2	1.26	-0.002	2-24
2	24	32.4	1.25	-0.008	2-24
2	24	33.6	1.24	-0.004	2-24
2	24	34.8	1.24	-0.007	2-24
2	24	36	1.23	-0.009	2-24
2	24	37.2	1.22	-0.005	2-24
2	24	38.4	1.21	-0.004	2-24
2	24	39.6	1.21	-0.006	2-24
2	24	40.8	1.2	-0.004	2-24
2	24	42	1.2	-0.001	2-24
2	24	43.2	1.2	0.001	2-24
2	24	44.4	1.2	0.001	2-24
2	24	45.6	1.2	0.001	2-24
2	24	46.8	1.2	0.003	2-24
2	24	48	1.21	0.009	2-24
2	24	49.2	1.23	0.01	2-24
2	24	50.4	1.24	0.011	2-24
2	24	51.6	1.26	0.019	2-24
2	24	52.8	1.28	0.029	2-24
2	24	54	1.32	0.037	2-24
2	24	55.2	1.37	0.042	2-24
2	24	56.4	1.42	0.051	2-24
2	24	57.6	1.49	0.065	2-24
2	24	58.8	1.58	0.079	2-24
2	24	60	1.69	0.095	2-24
2	24	61.2	1.81	0.119	2-24
2	24	62.4	1.98	0.155	2-24
2	24	63.6	2.19	0.202	2-24
2	24	64.8	2.46	0.257	2-24
2	24	66	2.8	0.315	2-24
2	24	67.2	3.21	0.365	2-24
2	24	68.4	3.67	0.382	2-24
2	24	69.6	4.11	0.339	2-24
2	24	70.8	4.46	0.232	2-24
2	24	72	4.66	0.103	2-24
2	24	73.2	4.71	-0.011	2-24
2	24	74.4	4.64	-0.093	2-24
2	24	75.6	4.5	-0.145	2-24
2	24	76.8	4.3	-0.174	2-24
2	24	78	4.09	-0.183	2-24
2	24	79.2	3.86	-0.188	2-24
2	24	80.4	3.63	-0.197	2-24
2	24	81.6	3.39	-0.2	2-24
2	24	82.8	3.15	-0.202	2-24
2	24	84	2.91	-0.211	2-24
2	24	85.2	2.65	-0.213	2-24
2	24	86.4	2.39	-0.211	2-24
2	24	87.6	2.13	-0.215	2-24
2	24	88.8	1.88	-0.196	2-24
2	24	90	1.67	-0.154	2-24
2	47	30	1.34	-0.002	2-47
2	47	31.2	1.33	-0.007	2-47
2	47	32.4	1.32	-0.009	2-47
2	47	33.6	1.31	-0.008	2-47
2	47	34.8	1.31	-0.008	2-47
2	47	36	1.3	-0.009	2-47
2	47	37.2	1.29	-0.004	2-47
2	47	38.4	1.28	-0.005	2-47
2	47	39.6	1.27	-0.004	2-47
