no	smiles	iupac	supplier	supplier_id	mass	purity_percent
1	o1cccc1C(N2[C@H](c(o3)nc(c4ccc(C)cc4)n3)Cc([nH]5)c(nc5)C2)=O	"5-[(6S)-5-(furan-2-carbonyl)-1H,4H,5H,6H,7H-imidazo[4,5-c]pyridin-6-yl]-3-(4-methylphenyl)-1,2,4-oxadiazole"	AnalytiCon Discovery	NAT22-366038	375.38	94
2	Cc(c(Oc(cccn1)c1C)n2)c(c(cc(N)n3)c(c4)c3[nH]c4)nc2	"4-{5-methyl-6-[(2-methylpyridin-3-yl)oxy]pyrimidin-4-yl}-1H-pyrrolo[2,3-b]pyridin-6-amine"	ChemBridge	99596713	332.36	90
3	FC(F)(F)COC(C(=C(C)N1)C(c2ccccc2Cl)NC1=O)=O	"2,2,2-trifluoroethyl 4-(2-chlorophenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate"	ChemBridge	5604851	348.70	90
4	Cn(c(C(CCN1)CC1)n2)c(Sc3cc(C(N4CCCC4)=O)ccn3)n2	"2-{[4-methyl-5-(piperidin-4-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}-4-(pyrrolidine-1-carbonyl)pyridine"	ChemBridge	76047564	372.49	90
5	Fc(ccc1CNC(=O)CCc2nnc(c(cc(C)o3)n3)o2)c(F)c1	"N-[(3,4-difluorophenyl)methyl]-3-[5-(5-methyl-1,2-oxazol-3-yl)-1,3,4-oxadiazol-2-yl]propanamide"	ChemBridge	63070933	348.30	90
6	Oc(cc(C)n1)nc1SCC2=Nc(cccc3)c3C(=O)N2c4ccccc4C	"2-{[(4-hydroxy-6-methylpyrimidin-2-yl)sulfanyl]methyl}-3-(2-methylphenyl)-3,4-dihydroquinazolin-4-one"	ChemBridge	7113124	390.46	90
7	CSC1=NC2=C(C(=O)N1)C(c(ccn3)cc3)C4=C(N2)CCCC4=O	"2-(methylsulfanyl)-5-(pyridin-4-yl)-3H,4H,5H,6H,7H,8H,9H,10H-pyrimido[4,5-b]quinoline-4,6-dione"	ChemBridge	7647906	340.40	90
8	Fc(c(OCCCCCC)ccc1c2nc(N)ccn2)c1F	"2-[2,3-difluoro-4-(hexyloxy)phenyl]pyrimidin-4-amine"	ChemBridge	16073281	307.34	90
9	C(OC(=O)C(c1ccc(F)cc1)(NC(Nc(cc(C)o2)n2)=O)C(F)(F)F)C	"ethyl 3,3,3-trifluoro-2-(4-fluorophenyl)-2-{[(5-methyl-1,2-oxazol-3-yl)carbamoyl]amino}propanoate"	ChemBridge	7927043	389.30	90
10	Clc(cc(N1)c2C(O)(CC(c3ccc(C)o3)=O)C1=O)cc2Cl	"4,6-dichloro-3-hydroxy-3-[2-(5-methylfuran-2-yl)-2-oxoethyl]-2,3-dihydro-1H-indol-2-one"	ChemBridge	9069715	340.15	90
11	c1(Cn2c(CCCC3=O)c3c(CC(NCC(NC(=O)N4)=N4)=O)c2C)ccccc1	"2-(1-benzyl-2-methyl-4-oxo-4,5,6,7-tetrahydro-1H-indol-3-yl)-N-[(5-oxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)methyl]acetamide"	ChemBridge	95059689	393.44	90
12	Cc1c(C(=O)N2CC(c3ccc(C)cc3)=O)c(sc1C(N)=O)N=C2	"5-methyl-3-[2-(4-methylphenyl)-2-oxoethyl]-4-oxo-3H,4H-thieno[2,3-d]pyrimidine-6-carboxamide"	ChemBridge	9138818	341.39	85
13	O=C(C(CC(NC(c(cn1c2ccccc2F)cn1)C)=O)=CN3)NC3=O	"2-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-N-{1-[1-(2-fluorophenyl)-1H-pyrazol-4-yl]ethyl}acetamide"	ChemBridge	25117068	357.34	90
14	Clc(ccc1C2(N(Cc(nc(C(N)=O)o3)n3)C=O)CCC2)cc1	"3-({[1-(4-chlorophenyl)cyclobutyl]formamido}methyl)-1,2,4-oxadiazole-5-carboxamide"	ChemBridge	97907945	334.76	90
15	Fc(ccc1c(c(CN(C)C(=O)CC(=C(C)N2)C(=O)NC2=O)c[nH]3)n3)cc1	"N-{[3-(4-fluorophenyl)-1H-pyrazol-4-yl]methyl}-N-methyl-2-(6-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)acetamide"	ChemBridge	99947210	371.37	90
16	O=C(C=CN1CC(NCCC(c2ccc(F)cc2)c3ccco3)=O)NC1=O	"2-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)-N-[3-(4-fluorophenyl)-3-(furan-2-yl)propyl]acetamide"	ChemBridge	98668907	371.36	90
